"Param
Id","TCD
ID","Size/
16 Bit","Group Label
Long","Param. Label
Long","Group
SOLED","Label
SOLED","Group Label
Short","Param. Label
Short","Shape
GUI","Position
GUI","Inactive
CP","Bipolar
No/Yes","Button
Id",MC,Prio,Scaling Type,DV = f(CP),"Factor
CP to DV","DisplayValue
Range","Default
(DV)","Default
(CP)",Round,"Main
Unit","Mod
Unit","Mod Amt (+/-)
u. Stepsize fine","Stepsize/CP
coarse","Stepsize/CP
fine","Unclipped (16 Bit)
TCD_RAW Range","Clipped (14 Bit)
TCD_RAW Range","Factor
CP to TCD",Render Cell,Target,Comment,Parameter Info,
214,114,2,,Rate,,Rate,,Rate,Big Knob,0.0,,N,73,Y,1,PARABOLIC_10_HZ,10*CP^2,NA,0 ... 10,1,0.317,3 St.,Hz,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,E - 0 (core),direct,,Frequency of the LFO and rate of the envelope. Both can be modulation sources for the delay times and the allpass center frequencies.,
216,115,2,,Time,,Time,,Time,Big Knob,3.0,,N,81.1,Y,1,PARABOLIC_50_MS,50*CP^2,NA,0 ... 50,5.02,0.317,3 St.,ms,%,,1/125,1/1250,-12500 ... 25000,0 ... 12500,12500,E - 0 (core),direct,nicht-linear: 16000 nutzen,"Mean value of the delay times in the left and right channel. The ""Stereo"" parameter allows to create a time offset between the channels.
When the time of the Flanger is set to zero, the overall effect is determined by the phase shifting of the allpass.",
218,116,1,,Stereo,,Stereo,,Stereo,Small Knob,3.1,,Y,81.2,N,1,LINEAR_BIPOLAR_50_PERCENT,lin,50,-50 ... 50,0,0.0,0.1,%,NA,,1/50,1/500,NA,-8 000 ... 8 000,8000,E - 0 (core),direct,,"Sets the ratio between the delay times of the left and of the right channel [the value shows the offset to 100.0 %]. In the center position, the offset is zero and both delay times are equal.",
219,117,2,,Feedback,,Feedback,,Feedback,Big Knob,6.0,,Y,89.0,Y,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,%,200 (1/2000),1/100,1/1000,-24000 ... 24000,-8 000 ... 8 000,8000,E - 0 (core),direct,shaped in engine,"Amount of the internal feedback. At negative values, the feedback is inverted and will emphasize other frequencies than in the non-inverted mode.",
221,118,1,,Cross FB,,Cross FB,,Cross FB,Small Knob,8.0,,Y,89.1,N,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,50,0.5,0.1,%,NA,,1/100,1/1000,NA,-8 000 ... 8 000,8000,E - 0 (core),direct,,"Amount of the cross feedback between the left and the right channel, increasing the complexity of the resulting signal. At negative values, the cross feedback is inverted and will emphasize other frequencies than in the non-inverted mode.
0.0 %: no cross feedback
+/- 100.0 %: all feedback is cross feedback",
222,119,1,,Hi Cut,,Hi Cut,,Hi Cut,Small Knob,8.1,,N,89.2,N,1,LINEAR_60_140_ST,lin,100,60...140,120,0.75,0.1,st,NA,,1/80,1/800,NA,0 ... 16 000,16000,E - 0,direct,,Cutoff frequency [in semitones] of the filter that damps the higher frequencies of the delayed signal.,
223,120,2,,Mix,,Mix,,Mix,Vert. Slider,9.0,0,Y,93,Y,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,%,200 (1/2000),1/100,1/1000,-24000 ... 24000,-8 000 ... 8 000,8000,E - 0 (core),direct,,"Crossfades between the dry signal and the delayed signal. At negative values, the delayed signal is inverted.",
225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,124,2,Echo,Time,Echo,Time,Echo,Time,Big Knob,0.0,,N,74.0,Y,1,PARABOLIC_2000_MS,2000*CP^2,NA,0 ... 2000,375,0.433,3 St.,ms,%,,1/200,1/2000,-16000 ... 32000,0 ... 16000,16000,E - 0 (core),direct,,"Mean delay time [in milliseconds]. (As there can be an offset between the left and right channel, this control shows the mean time.)",
227,125,2,,Stereo,,Stereo,,Stereo,Big Knob,1.0,,Y,74.1,Y,1,LINEAR_BIPOLAR_33_PERCENT,lin,33,-33 ... 33,0,0.0,0.1,%,%,66 (1/660),1/66,1/660,-13200 ... 13200,-6 600 ... 6 600,6600,E - 0 (core),direct,,"Sets the ratio between the delay times of the left and of the right channel [the value shows the offset to 100.0 %]. In the center position, the offset is zero and both delay times are equal.",
229,126,2,,Feedback,,FB,,Feedback,Big Knob,2.0,,N,78.0,Y,1,LINEAR_100_PERCENT,lin,100,0...100,50,0.5,0.1,%,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,E - 0 (core),direct,,Amount of internal feedback.,
231,127,1,,Cross FB,,Cross FB,,Cross FB,Small Knob,2.1,,N,78.1,N,1,LINEAR_100_PERCENT,lin,100,0...100,50,0.5,0.1,%,NA,,1/100,1/1000,NA,0 ... 16 000,16000,E - 0 (core),direct,,"Amount of the cross feedback between the left and right channel.
0.0 %: no cross feedback
100.0 %: all feedback is cross feedback",
232,128,1,,Hi Cut,,Hi Cut,,Hi Cut,Small Knob,1.1,,N,78.2,N,1,LINEAR_60_140_ST,lin,100,60...140,120,0.75,0.1,st,NA,,1/80,1/800,NA,0 ... 16 000,16000,E - 0,direct,,Cutoff frequency [in semitones] of the filter that damps the higher frequencies of the delayed signal.,
233,129,2,,Mix,,Mix,,Mix,Vert. Slider,3.0,0,N,82,Y,1,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,E - 0 (core),direct,shaped in engine,Crossfades between the dry signal and the delayed signal.,
235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,130,2,Reverb,Size,Reverb,Size,Reverb,Size,Big Knob,0.0,,N,86.0,Y,1,LINEAR_100_PERCENT,lin,100,0...100,33,0.33,0.1,%,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,E - 0 (core),direct,,The room size and reverb time are set here.,
237,131,1,,Pre Delay,,Pre Del,,Pre Delay,Small Knob,0.1,,N,86.1,N,1,LINEAR_100_PERCENT,lin,100,0...100,33,0.33,0.1,%,NA,,1/100,1/1000,NA,0 ... 16 000,16000,E - 0 (E),direct,,"Pre delay time, shifting the late reflections. This has a profound effect on the perceived room size.",
238,132,2,,Color,,Color,,Color,Big Knob,1.0,,N,90.0,Y,1,LINEAR_100_PERCENT,lin,100,0...100,50,0.5,0.1,%,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,E - 0,direct,,Cutoff of the filter that damps the lower frequencies of the reverberation signal.,
240,133,1,,Chorus,,Chorus,,Chorus,Small Knob,1.1,,N,90.1,N,1,LINEAR_100_PERCENT,lin,100,0...100,25,0.25,0.1,%,NA,,1/100,1/1000,NA,0 ... 16 000,16000,E - 0,direct,,"This controls the internal modulation of the reverberation delays. At higher amounts, there is more movement and the diffusion is smoother. At lower amounts, the reverb becomes more static and metallic.",
241,134,2,,Mix,,Mix,,Mix,Vert. Slider,2.0,0,N,94,Y,1,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,E - 0 (core),direct,shaped in engine,Crossfades between the dry signal and the reverberation signal.,
243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,1,Macro Control,Ⓐ,,,Macro Control,Ⓐ,Big Hor. Slider,0.0,,N,75,NA,1,LINEAR_100_PERCENT,lin,100,0...100,50,0.5,0.1,%,%,,1/100,1/1000,-25600 ... 28800,0 ... 3200,3200,-,TG - MC,,The info text of Macro Control A is user-definable and defaults to an empty string.,"Achtung!
Die MC Infos gelten nur für die Parameter Rerence!"
244,,1,,Ⓑ,,,,Ⓑ,Big Hor. Slider,1.0,,N,79,NA,1,LINEAR_100_PERCENT,lin,100,0...100,50,0.5,0.1,%,%,,1/100,1/1000,-25600 ... 28800,0 ... 3200,3200,-,TG - MC,,The info text of Macro Control B is user-definable and defaults to an empty string.,
245,,1,,Ⓒ,,,,Ⓒ,Big Hor. Slider,2.0,,N,83,NA,1,LINEAR_100_PERCENT,lin,100,0...100,50,0.5,0.1,%,%,,1/100,1/1000,-25600 ... 28800,0 ... 3200,3200,-,TG - MC,,The info text of Macro Control C is user-definable and defaults to an empty string.,
246,,1,,Ⓓ,,,,Ⓓ,Big Hor. Slider,3.0,,N,87,NA,1,LINEAR_100_PERCENT,lin,100,0...100,50,0.5,0.1,%,%,,1/100,1/1000,-25600 ... 28800,0 ... 3200,3200,-,TG - MC,,The info text of Macro Control D is user-definable and defaults to an empty string.,
247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,97,1,Master,Volume,Master,Vol,Master,Volume,Vert. Slider,0.0,,N,95.0,N,1,PARABOLIC_GAIN_DB,20*log10(4*CP^2),NA,-inf...12,0,0.5,3 St.,dB,NA,,1/100,1/1000,NA,0 ... 16 000,16000,step - Sm A,direct,,"Master volume [in dB], applied at the end of the effect chain, before the soft clipper.",
248,,1,,Tune,,Tune,,Tune,Num 00.00,0.1,,Y,95.1,N,1,FINE_BIPOLAR_48_ST,lin,48,-48...48,0.00,0.0,0.01,st,NA,,1/48,1/4800,NA,-4 800 ... 4 800,4800,-,TG - Poly,,Global pitch transposition [in semitones].,
249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,,1,Unison,Voices,Unison,Voices,Unison,Voices,Num 00,0.0,0,N,91.0,N,1,LINEAR_12_COUNT,lin_quant,12,1 ... 12,1,0.0,1,voices,NA,,1/11,1/11,NA,1 ... 12,11,-,TG - VAlloc,,"Number of unison voices that will be assigned to a key. At 1, the unison effect is disabled.",
250,,2,,Detune,,Detune,,Detune,Num 00.000,0.1,,N,91.1,Y,1,VERY_FINE_12_ST,lin,12,0 ... 12,0.000,0.0,0.001,st,st,12 (1/6000),1/120,1/12000,-12000 ... 24000,0 ... 12 000,12000,-,TG - Poly,,Spreading of the pitches of the unison voices [in semitones]. The Fine mode allows for adjustments in steps of 0.001 semitones (0.1 cents).,
252,,1,,Phase,,Phase,,Phase,Hor. Slider,0.2,,N,91.2,N,1,LINEAR_360_DEG,lin,360,0...360,0,0.0,0.1,deg,NA,,1/360,1/3600,NA,0 ... 14 400,14400,-,TG - Poly,,Spreading the (Oscillators') start phases of the unison voices to get different phase cancellations at the beginning of a note. The value is the phase range [in degrees] covered by a group of unison voices.,
253,,1,,Pan,,Pan,,Pan,Hor. Slider,0.3,,N,91.3,N,1,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,0 ... 16 000,16000,-,TG - Poly,,"Voice panning insied of a group of unison voices. At 100.0 %, the voices are spread over the full stereo base.",
254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,1,Hardware Source,Pedal 1,,,HW Source,Pedal 1,,0.0,,N,,NA,1,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,0 ... 16 000,16000,-,TG - MCs,,"This control is the parameter representation of the “Pedal 1” Hardware Source. If a pedal is connected, it will directly follow the external control. If the source's return behavior is set to “Center”, the parameter will be bipolar.",
255,,1,Hardware Amount,Pedal 1 to Ⓐ,,,HW Amount,Ped 1 to Ⓐ,,1.0,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8000 ... 8000,8000,-,TG - MCs,,"Determines the influence of Pedal 1 on Macro Control A.
If the pedal is set to a returning mode, the amount can be adjusted continuously, otherwise it will be switch-like.
Continuous amounts can be set [in percent] and can cover the whole range of the Macro Control in both directions (-100 ... 100 %).",
256,,1,,Pedal 1 to Ⓑ,,,,Ped 1 to Ⓑ,,2.0,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8000 ... 8000,8000,-,TG - MCs,,"Determines the influence of Pedal 1 on Macro Control B.
If the pedal is set to a returning mode, the amount can be adjusted continuously, otherwise it will be switch-like.
Continuous amounts can be set [in percent] and can cover the whole range of the Macro Control in both directions (-100 ... 100 %).",
257,,1,,Pedal 1 to Ⓒ,,,,Ped 1 to Ⓒ,,3.0,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8000 ... 8000,8000,-,TG - MCs,,"Determines the influence of Pedal 1 on Macro Control C.
If the pedal is set to a returning mode, the amount can be adjusted continuously, otherwise it will be switch-like.
Continuous amounts can be set [in percent] and can cover the whole range of the Macro Control in both directions (-100 ... 100 %).",
258,,1,,Pedal 1 to Ⓓ,,,,Ped 1 to Ⓓ,,4.0,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8000 ... 8000,8000,-,TG - MCs,,"Determines the influence of Pedal 1 on Macro Control D.
If the pedal is set to a returning mode, the amount can be adjusted continuously, otherwise it will be switch-like.
Continuous amounts can be set [in percent] and can cover the whole range of the Macro Control in both directions (-100 ... 100 %).",
259,,1,Hardware Source,Pedal 2,,,HW Source,Pedal 2,,0.1,,N,,NA,1,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,0 ... 16 000,16000,-,TG - MCs,,"This control is the parameter representation of the “Pedal 2” Hardware Source. If a pedal is connected, it will directly follow the external control. If the source's return behavior is set to “Center”, the parameter will be bipolar.",
260,,1,Hardware Amount,Pedal 2 to Ⓐ,,,HW Amount,Ped 2 to Ⓐ,,1.1,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8000 ... 8000,8000,-,TG - MCs,,"Determines the influence of Pedal 2 on Macro Control A.
If the pedal is set to a returning mode, the amount can be adjusted continuously, otherwise it will be switch-like.
Continuous amounts can be set [in percent] and can cover the whole range of the Macro Control in both directions (-100 ... 100 %).",
261,,1,,Pedal 2 to Ⓑ,,,,Ped 2 to Ⓑ,,2.1,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8000 ... 8000,8000,-,TG - MCs,,"Determines the influence of Pedal 2 on Macro Control B.
If the pedal is set to a returning mode, the amount can be adjusted continuously, otherwise it will be switch-like.
Continuous amounts can be set [in percent] and can cover the whole range of the Macro Control in both directions (-100 ... 100 %).",
262,,1,,Pedal 2 to Ⓒ,,,,Ped 2 to Ⓒ,,3.1,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8000 ... 8000,8000,-,TG - MCs,,"Determines the influence of Pedal 2 on Macro Control C.
If the pedal is set to a returning mode, the amount can be adjusted continuously, otherwise it will be switch-like.
Continuous amounts can be set [in percent] and can cover the whole range of the Macro Control in both directions (-100 ... 100 %).",
263,,1,,Pedal 2 to Ⓓ,,,,Ped 2 to Ⓓ,,4.1,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8000 ... 8000,8000,-,TG - MCs,,"Determines the influence of Pedal 2 on Macro Control D.
If the pedal is set to a returning mode, the amount can be adjusted continuously, otherwise it will be switch-like.
Continuous amounts can be set [in percent] and can cover the whole range of the Macro Control in both directions (-100 ... 100 %).",
264,,1,Hardware Source,Pedal 3,,,HW Source,Pedal 3,,0.2,,N,,NA,1,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,0 ... 16 000,16000,-,TG - MCs,,"This control is the parameter representation of the “Pedal 3” Hardware Source. If a pedal is connected, it will directly follow the external control. If the source's return behavior is set to “Center”, the parameter will be bipolar.",
265,,1,Hardware Amount,Pedal 3 to Ⓐ,,,HW Amount,Ped 3 to Ⓐ,,1.2,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8000 ... 8000,8000,-,TG - MCs,,"Determines the influence of Pedal 3 on Macro Control A.
If the pedal is set to a returning mode, the amount can be adjusted continuously, otherwise it will be switch-like.
Continuous amounts can be set [in percent] and can cover the whole range of the Macro Control in both directions (-100 ... 100 %).",
266,,1,,Pedal 3 to Ⓑ,,,,Ped 3 to Ⓑ,,2.2,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8000 ... 8000,8000,-,TG - MCs,,"Determines the influence of Pedal 3 on Macro Control B.
If the pedal is set to a returning mode, the amount can be adjusted continuously, otherwise it will be switch-like.
Continuous amounts can be set [in percent] and can cover the whole range of the Macro Control in both directions (-100 ... 100 %).",
267,,1,,Pedal 3 to Ⓒ,,,,Ped 3 to Ⓒ,,3.2,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8000 ... 8000,8000,-,TG - MCs,,"Determines the influence of Pedal 3 on Macro Control C.
If the pedal is set to a returning mode, the amount can be adjusted continuously, otherwise it will be switch-like.
Continuous amounts can be set [in percent] and can cover the whole range of the Macro Control in both directions (-100 ... 100 %).",
268,,1,,Pedal 3 to Ⓓ,,,,Ped 3 to Ⓓ,,4.2,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8000 ... 8000,8000,-,TG - MCs,,"Determines the influence of Pedal 3 on Macro Control D.
If the pedal is set to a returning mode, the amount can be adjusted continuously, otherwise it will be switch-like.
Continuous amounts can be set [in percent] and can cover the whole range of the Macro Control in both directions (-100 ... 100 %).",
269,,1,Hardware Source,Pedal 4,,,HW Source,Pedal 4,,0.3,,N,,NA,1,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,0 ... 16 000,16000,-,TG - MCs,,"This control is the parameter representation of the “Pedal 4” Hardware Source. If a pedal is connected, it will directly follow the external control. If the source's return behavior is set to “Center”, the parameter will be bipolar.",
270,,1,Hardware Amount,Pedal 4 to Ⓐ,,,HW Amount,Ped 4 to Ⓐ,,1.3,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8000 ... 8000,8000,-,TG - MCs,,"Determines the influence of Pedal 4 on Macro Control A.
If the pedal is set to a returning mode, the amount can be adjusted continuously, otherwise it will be switch-like.
Continuous amounts can be set [in percent] and can cover the whole range of the Macro Control in both directions (-100 ... 100 %).",
271,,1,,Pedal 4 to Ⓑ,,,,Ped 4 to Ⓑ,,2.3,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8000 ... 8000,8000,-,TG - MCs,,"Determines the influence of Pedal 4 on Macro Control B.
If the pedal is set to a returning mode, the amount can be adjusted continuously, otherwise it will be switch-like.
Continuous amounts can be set [in percent] and can cover the whole range of the Macro Control in both directions (-100 ... 100 %).",
272,,1,,Pedal 4 to Ⓒ,,,,Ped 4 to Ⓒ,,3.3,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8000 ... 8000,8000,-,TG - MCs,,"Determines the influence of Pedal 4 on Macro Control C.
If the pedal is set to a returning mode, the amount can be adjusted continuously, otherwise it will be switch-like.
Continuous amounts can be set [in percent] and can cover the whole range of the Macro Control in both directions (-100 ... 100 %).",
273,,1,,Pedal 4 to Ⓓ,,,,Ped 4 to Ⓓ,,4.3,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8000 ... 8000,8000,-,TG - MCs,,"Determines the influence of Pedal 4 on Macro Control D.
If the pedal is set to a returning mode, the amount can be adjusted continuously, otherwise it will be switch-like.
Continuous amounts can be set [in percent] and can cover the whole range of the Macro Control in both directions (-100 ... 100 %).",
274,,1,Hardware Source,Bender,,,HW Source,Bender,,0.4,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.01,%,NA,,1/100,1/1000,NA,-8 000 ... 8 000,8000,-,TG - MCs,Achtung: Präzision,This control is the parameter representation of the “Bender” Hardware Source. It will directly follow the Bender.,
275,,1,Hardware Amount,Bender to Ⓐ,,,HW Amount,Bend to Ⓐ,,1.4,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8000 ... 8000,8000,-,TG - MCs,,"Determines the influence of the Bender on Macro Control A.
The amount can be adjusted continuously [in percent] and can cover the whole range of the Macro Control in both directions (-100 ... 100 %).
The bipolar range of the Bender is mapped to the unipolar range of the Macro Control by an amount of 50 %.",
276,,1,,Bender to Ⓑ,,,,Bend to Ⓑ,,2.4,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8000 ... 8000,8000,-,TG - MCs,,"Determines the influence of the Bender on Macro Control B.
The amount can be adjusted continuously [in percent] and can cover the whole range of the Macro Control in both directions (-100 ... 100 %).
The bipolar range of the Bender is mapped to the unipolar range of the Macro Control by an amount of 50 %.",
277,,1,,Bender to Ⓒ,,,,Bend to Ⓒ,,3.4,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8000 ... 8000,8000,-,TG - MCs,,"Determines the influence of the Bender on Macro Control C.
The amount can be adjusted continuously [in percent] and can cover the whole range of the Macro Control in both directions (-100 ... 100 %).
The bipolar range of the Bender is mapped to the unipolar range of the Macro Control by an amount of 50 %.",
278,,1,,Bender to Ⓓ,,,,Bend to Ⓓ,,4.4,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8000 ... 8000,8000,-,TG - MCs,,"Determines the influence of the Bender on Macro Control D.
The amount can be adjusted continuously [in percent] and can cover the whole range of the Macro Control in both directions (-100 ... 100 %).
The bipolar range of the Bender is mapped to the unipolar range of the Macro Control by an amount of 50 %.",
279,,1,Hardware Source,Aftertouch,,,HW Source,Aftertouch,,0.5,,N,,NA,1,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,0 ... 16 000,16000,-,TG - MCs,,This control is the parameter representation of the “Aftertouch” Hardware Source. It will directly follow aftertouch gestures.,
280,,1,Hardware Amount,Aftertouch to Ⓐ,,,HW Amount,AT to Ⓐ,,1.5,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8000 ... 8000,8000,-,TG - MCs,,"Determines the influence of the Aftertouch on Macro Control A.
The amount can be adjusted continuously [in percent] and can cover the whole range of the Macro Control in both directions (-100 ... 100 %).",
281,,1,,Aftertouch to Ⓑ,,,,AT to Ⓑ,,2.5,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8000 ... 8000,8000,-,TG - MCs,,"Determines the influence of the Aftertouch on Macro Control B.
The amount can be adjusted continuously [in percent] and can cover the whole range of the Macro Control in both directions (-100 ... 100 %).",
282,,1,,Aftertouch to Ⓒ,,,,AT to Ⓒ,,3.5,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8000 ... 8000,8000,-,TG - MCs,,"Determines the influence of the Aftertouch on Macro Control C.
The amount can be adjusted continuously [in percent] and can cover the whole range of the Macro Control in both directions (-100 ... 100 %).",
283,,1,,Aftertouch to Ⓓ,,,,AT to Ⓓ,,4.5,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8000 ... 8000,8000,-,TG - MCs,,"Determines the influence of the Aftertouch on Macro Control D.
The amount can be adjusted continuously [in percent] and can cover the whole range of the Macro Control in both directions (-100 ... 100 %).",
284,,1,Hardware Source,Ribbon 1,,,HW Source,Ribbon 1,,0.6,,N,,NA,1,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,0 ... 16 000,16000,-,TG - MCs,,"This control is the parameter representation of the “Ribbon 1” Hardware Source. It will directly follow the Ribbon and vice versa. If the source's return behavior is set to “Center”, the parameter will be bipolar.",
285,,1,Hardware Amount,Ribbon 1 to Ⓐ,,,HW Amount,Rib 1 to Ⓐ,,1.6,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8000 ... 8000,8000,-,TG - MCs,,"Determines the influence of Ribbon 1 on Macro Control A.
If the ribbon is set to a returning mode, the amount can be adjusted continuously, otherwise it will be switch-like.
Continuous amounts can be set [in percent] and can cover the whole range of the Macro Control in both directions (-100 ... 100 %).",
286,,1,,Ribbon 1 to Ⓑ,,,,Rib 1 to Ⓑ,,2.6,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8000 ... 8000,8000,-,TG - MCs,,"Determines the influence of Ribbon 1 on Macro Control B.
If the ribbon is set to a returning mode, the amount can be adjusted continuously, otherwise it will be switch-like.
Continuous amounts can be set [in percent] and can cover the whole range of the Macro Control in both directions (-100 ... 100 %).",
287,,1,,Ribbon 1 to Ⓒ,,,,Rib 1 to Ⓒ,,3.6,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8000 ... 8000,8000,-,TG - MCs,,"Determines the influence of Ribbon 1 on Macro Control C.
If the ribbon is set to a returning mode, the amount can be adjusted continuously, otherwise it will be switch-like.
Continuous amounts can be set [in percent] and can cover the whole range of the Macro Control in both directions (-100 ... 100 %).",
288,,1,,Ribbon 1 to Ⓓ,,,,Rib 1 to Ⓓ,,4.6,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8000 ... 8000,8000,-,TG - MCs,,"Determines the influence of Ribbon 1 on Macro Control D.
If the ribbon is set to a returning mode, the amount can be adjusted continuously, otherwise it will be switch-like.
Continuous amounts can be set [in percent] and can cover the whole range of the Macro Control in both directions (-100 ... 100 %).",
289,,1,Hardware Source,Ribbon 2,,,HW Source,Ribbon 2,,0.7,,N,,NA,1,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,0 ... 16 000,16000,-,TG - MCs,,"This control is the parameter representation of the “Ribbon 2” Hardware Source. It will directly follow the Ribbon and vice versa. If the source's return behavior is set to “Center”, the parameter will be bipolar.",
290,,1,Hardware Amount,Ribbon 2 to Ⓐ,,,HW Amount,Rib 2 to Ⓐ,,1.7,,Y,,NA,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8000 ... 8000,8000,-,TG - MCs,,"Determines the influence of Ribbon 2 on Macro Control A.
If the ribbon is set to a returning mode, the amount can be adjusted continuously, otherwise it will be switch-like.
Continuous amounts can be set [in percent] and can cover the whole range of the Macro Control in both directions (-100 ... 100 %).",
